72.9243	-26.3666	6.5853
45.208	-36.1984	5.4716
25.608	-36.1983	5.4717
5.788	-36.1983	5.4717
-14.032	-36.1983	5.4717
-23.932	-36.1983	5.4717
-33.852	-36.1983	5.4718
-43.772	-36.1984	5.4717
-55.9065	-36.0875	5.7069
-57.1861	-36.073	5.7348
-73.2834	-22.1625	6.4973
-73.3061	-21.7031	6.5028
-73.3367	-21.0839	6.5093
-73.381	-20.165	6.5184
-73.4585	-18.4268	6.5344
-73.5423	-16.3485	6.5497
-73.6578	-13.0906	6.5638
-73.8659	-3.013	6.5677
-73.8084	7.3265	6.5673
-73.5152	17.0418	6.5452
-72.8868	27.498	6.3942
-59.4541	36.0556	5.7693
-59.0941	36.0572	5.7654
-58.5342	36.0608	5.758
-57.9143	36.0658	5.7482
-57.4344	36.0704	5.7396
-56.8346	36.0768	5.7277
-55.9148	36.0874	5.7071
-54.7553	36.1022	5.677
-53.656	36.1182	5.6434
-52.3371	36.1413	5.5947
-47.0009	36.1983	5.4717
-37.1009	36.1983	5.4718
-27.1809	36.1983	5.4717
-17.2809	36.1983	5.4717
-7.3609	36.1983	5.4717
2.5391	36.1983	5.4717
12.4591	36.1983	5.4717
22.3591	36.1983	5.4717
32.2791	36.1983	5.4717
42.1991	36.1984	5.4716
53.6773	36.1506	5.5756
62.6559	36.0695	5.6885
70.3146	33.4518	6.1757
71.1303	32.4469	6.2734
71.3425	32.109	6.3017
71.4709	31.8837	6.3195
71.6278	31.5829	6.3419
71.781	31.258	6.3646
71.8988	30.9827	6.3828
72.0897	30.4786	6.414
72.4171	29.3885	6.4725
73.206	21.9058	6.6458
73.6425	13.117	6.5875
73.8681	2.72	6.5678
73.8142	-7.0103	6.5676
73.4521	-17.2629	6.6314
73.2726	-20.6982	6.6472
73.2638	-20.8579	6.6472
73.1757	-22.4555	6.6438
73.123	-23.4341	6.6374
73.0878	-24.0931	6.6302
73.0534	-24.692	6.6215
73.032	-25.0313	6.6156
73.0085	-25.3704	6.609
72.9843	-25.6894	6.6021
72.9576	-26.0082	6.5946
